"ID","Vaccine Name","Disease Name","Disease Classification","Virus Name","Nucleic Acid Content","Vaccine Type","Vaccine Status","Manufacturer","Year of Manufacturing","Manufacturing Country","Age","Dosage","Administration Route","Adjuvant","Target Strain","Description","Approving Organisation","Collaborating Organisation","Other Countries","Trade Name","PMID","Clinical Trial ID","Reference Link","Additional Links"
"10312","RV3-BB","Rotavirus Infection","Gastrointestinal","Rotavirus","double stranded RNA","Live-attenuated","Phase 2","PT Biofarma","NA","Indonesia","0 - 5 days","3 doses regimen child schedule (0 to 5 days, 8 weeks, and 14 weeks of age or an infant schedule (8 weeks, 14 weeks, and 18 weeks of age)","Oral","NA","Three VP8 subunit proteins expressing P[4], P[6] and P[8] serotypes","NA","NA","NA","NA","NA","NA","NA","https://preventrotavirus.org/wp-content/uploads/2019/05/ROTA-Brief2-ProductLandscape-SP-1-3.pdf","NA"
"10313","Convidecia","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Non-replicating viral vector","Phase 3","CanSino Biologics Inc.","2020","China","18 years and above","Single dose","Intramuscular","NA","NA","NA","NA","NA","NA","PakVac, Recombinant novel coronavirus vaccine (Adenovirus type 5 vector)","NA","NCT04526990","https://clinicaltrials.gov/show/NCT04526990","NA"
"10314","Nanocovax","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 3","Nanogen Pharmaceutical Biotechnology JSC","2021","Vietnam","18 years and above","2 doses 28 days apart","Intramuscular","Aluminum","Spike protein of SARS-CoV-2 virus","NA","NA","NA","NA","NA","NA","NCT04922788","https://clinicaltrials.gov/show/NCT04922788","NA"
"10315","Omicron COVID-19 Vaccine (Vero Cell), Inactivated","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Inactivated","Phase 3","China National Biotec Group Company Limited","2020","China","NA","NA","Intramuscular","NA","NA","NA","NA","NA","NA","NA","NA","NA","http://www.chictr.org.cn/showproj.aspx?proj=62581","https://covid-19pharmacovigilance.paho.org/sinopharmbibp"
"10316","Inactivated SARS-CoV-2 vaccine (Vero cell)","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Inactivated","Phase 3","Laboratorio Elea Phoenix S.A.","2020","Argentina","18 - 85 years","2 doses 21 days apart","Intramuscular","Aluminum (aluminium hydroxide)","SARS-CoV-2 HB02 strain","NA","NA","NA","NA","NA","NA","NCT04560881","https://clinicaltrials.gov/show/NCT04560881","NA"
"10317","Inactivated SARS-CoV-2 vaccine (Vero cell)","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Inactivated","Phase 3","Health Institutes of Turkey","2020","Turkey","18 - 59 years","2 doses 14 days apart","Intramuscular","NA","SARS-CoV-2 virus antigenic protein","NA","NA","NA","NA","NA","NA","NCT04582344","https://clinicaltrials.gov/show/NCT04582344","NA"
"10318","Covidful","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Live-attenuated","Phase 3","Chinese Academy of Medical Sciences","2021","China","18 years and above","2 doses 2 weeks apart","Intramuscular","NA","NA","NA","NA","Institute of Medical Biology","Brazil, Malaysia","IMBCAMS COVID-19 vaccine","NA","NCT04659239","https://clinicaltrials.gov/show/NCT04659239","https://clinicaltrials.gov/ct2/show/NCT05164731"
"10319","Recombinant SARS-CoV-2 vaccine (Sf9 Cell)","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 3","West China Hospital, Sichuan University","2021","China","18 years and above","3 doses on day 0, 21 and 42","Intramuscular","Aluminum (aluminium hydroxide)","SARS-CoV-2 receptor-binding domain from spike protein","NA","NA","NA","NA","NA","NA","NCT04887207","https://clinicaltrials.gov/show/NCT04887207","https://clinicaltrials.gov/ct2/show/NCT04530656"
"10320","CVAC","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","RNA based vaccine","Phase 3","CureVac AG","2021","Belgium","18 years and above","2 doses 28 days apart","Intramuscular","NA","NA","NA","NA","NA","NA","NA","NA","NCT04860258","https://clinicaltrials.gov/ct2/show/NCT04860258?term=NCT04860258&draw=2&rank=1","NA"
"10321","WIBP-CorV","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Inactivated","Phase 3","Sinopharm, Wuhan Institute of Biological Products","2021","China","18 years and above","2 doses 21 days apart","Intramuscular","NA","SARS-CoV-2 whole virus","NA","NA","G42 Healthcare company, Abu Dhabi Health Services Company, Wuhan Institute of Biological Products Co. Ltd, Beijing Institute of Biological Products Co Ltd.","China, UAE","Zhongkangkewei","33816047","NCT04510207","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","https://clinicaltrials.gov/ct2/show/NCT04510207"
"10322","Convidecia","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Recombinant viral vector","Phase 3","CanSino Biologics Inc.","NA","China","NA","Single dose","Intramuscular","NA","NA","NA","NA","Beijing Institute of Biotechnology","NA","Adenovirus type 5 vector","33816047","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10323","BNT162b1","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","RNA based vaccine","Phase 3","BioNTech SE, Pfizer Inc.","NA","NA","NA","2 doses 28 days apart","Intramuscular","NA","NA","NA","NA","NA","NA","NA","33816047","NCT04368728","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","https://clinicaltrials.gov/ct2/show/NCT04368728"
"10324","INO-4800","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","RNA based vaccine","Phase 3","Inovio Pharmaceuticals","2021","USA","18 years and above","2 doses 28 days apart","Intradermal","NA","Spike protein of SARS-CoV-2 virus","NA","US FDA","NA","NA","NA","32328406","NA","https://pubmed.ncbi.nlm.nih.gov/32328406/","https://ir.inovio.com/news-releases/news-releases-details/2021/INOVIO-Further-Expands-INNOVATE-Phase-3-Trial-for-COVID-19-DNA-Vaccine-Candidate-INO-4800-With-Regulatory-Authorization-from-India/default.aspx"
"10325","INO-4800","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","DNA based vaccine","Phase 3","Inovio Pharmaceuticals","2021","USA","18 years and above","2 doses 28 days apart","Intradermal","NA","Spike protein of SARS-CoV-2 virus","NA","US FDA","NA","NA","NA","33816047","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","https://www.isrctn.com/ISRCTN15779782"
"10326","Covovax (Nuvaxovid)","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 3","Novavax Inc.","NA","NA","NA","2 doses 21 days apart","Intramuscular","Matrix-M1","Spike protein of SARS-CoV-2 virus","NA","NA","NA","NA","TAK-019, SARS-CoV-2 rS","33816047","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10327","Covaxin","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Inactivated","Phase 3","Bharat Biotech International Limited","NA","India","NA","2 doses 14 days apart","Intramuscular","NA","NA","NA","NA","NA","NA","BBV152","33816047","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10328","BriLife","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Recombinant viral vector","Phase 3","Israel Institute for Biological Research","2021","Israel","18 - 55 years","NA","Intramuscular","NA","Spike protein of SARS-CoV-2 virus","NA","NA","Weizmann Institute of Science","NA","IIBR-100","33937326","NCT04990466","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8082173/","NA"
"10329","GRAd-COV2","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Recombinant viral vector","Phase 3","ReiThera Srl","2021","Italy","18 years and above","2 doses 21 days apart","Intramuscular","Replication defective Simian Adenovirus (GRAd) encoding S","Spike protein of SARS-CoV-2 virus","NA","NA","NA","NA","NA","33816047","NCT04791423","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10330","JCOVDEN","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Non-replicating viral vector","Phase 3","Janssen Vaccines & Prevention B.V.","NA","NA","18 years and above","NA","Intramuscular","NA","NA","NA","NA","NA","NA","Ad26.COV2.S, JNJ-78436735,Ad26COVS1, VAC31518,COVID-19 Vaccine Janssen,Johnson & Johnson COVIDâ€‘19 vaccine","33937326","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8082173/","NA"
"10331","CVAC","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","RNA based vaccine","Phase 3","CureVac AG","2021","Belgium","18 years and above","2 doses 28 days apart","Intramuscular","NA","SARS-CoV-2 receptor-binding domain from spike protein","mRNA based vaccine","NA","NA","NA","CVnCoV ","33816047","NCT04860258","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10332","QazVac","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Inactivated","Phase 3","Research Institute for Biological Safety Problems","2021","Kazakhstan","18 years and above","2 doses 28 days apart","Intramuscular","NA","NA","NA","NA","NA","NA","QazCovid-in","33816047","NCT04691908","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10333","AG0301-COVID19","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","DNA based vaccine","Phase 3","AnGes Inc.","2021","Japan","18 years and above","2 doses 14 days apart","Intramuscular","NA","Spike protein of SARS-CoV-2 virus","NA","NA","Japan Agency for Medical Research and Development","NA","NA","33816047","NCT04655625","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10334","AWcorna","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","RNA based vaccine","Phase 3","Academy of Military Sciences, Walvax Biotechnology Co. Ltd.","2021","China","18 years and above","2 doses 28 days apart","Intramuscular","NA","Spike protein of SARS-CoV-2 virus","mRNA based vaccine","NA","NA","NA","Walvax COVID-19 vaccine, ARCoV","NA","NCT04847102","https://delta.larvol.com/products/?ProductId=4355caae-8746-469c-ab52-0b40ddfde811&Index=0","NA"
"10335","ARCT-154","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","RNA based vaccine","Phase 3","Vinbiocare Biotechnology Joint Stock Company","2021","Vietnam","18 years and above","2 doses 28 days apart","Intramuscular","NA","Spike protein of SARS-CoV-2 virus","NA","NA","Arcturus Therapeutics Inc.","NA","VBC-COV19-154","NA","NCT05012943","https://clinicaltrials.gov/ct2/show/NCT05012943","NA"
"10336","Covishield","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Recombinant viral vector","Phase 3","AstraZeneca plc","2021","Brazil","18 years and above","2 doses 28 days apart","Intramuscular","NA","SARS-CoV-2 variant strain B.1.351","NA","NA","NA","Brazil, UK, South Africa","AZD1222,ChAdOx1 nCoV-19, ChAdOx1-S, COVID-19 Vaccine AstraZeneca, AstraZeneca COVID-19 Vaccine, AZD2816,Vaxzevria","NA","NCT04973449","https://clinicaltrials.gov/ct2/show/NCT04973449","NA"
"10337","SCB-2019","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 3","Clover Biopharmaceuticals","2021","Australia","18 years and above","2 doses 21 days apart","Intramuscular","AS03, CpG 1018, alum","Spike protein of SARS-CoV-2 virus","NA","NA","GlaxoSmithKline, Dynavax","NA","NA","33816047","NCT04672395","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10338","Covifenz","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Virus like particle","Phase 3","Medicago Inc","NA","NA","NA","2 doses 21 days apart","Intramuscular","NA","NA","NA","NA","NA","NA","CoVLP","33816047","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10339","UB-612","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 3","Vaxxinity","2021","USA","18 years and above","2 doses 28 days apart","Intramuscular","NA","SARS-CoV-2 receptor-binding domain from spike protein","NA","NA","NA","NA","NA","33816047","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10340","Recombinant SARS-CoV-2 vaccine (Sf9 Cell)","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 3","West China Hospital, Sichuan University","2021","China","18 years and above","2 doses 28 days apart","Intramuscular","NA","SARS-CoV-2 receptor-binding domain from spike protein","NA","NA","NA","NA","NA","33816047","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10341","AZD1222 (ChAdOx1)","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Virus like particle","Phase 3","Janssen Pharmaceutical","NA","NA","18 - 55 years","2 doses 28 days apart","Intramuscular","NA","Spike protein of SARS-CoV-2 virus","NA","NA","NA","NA","NA","33402220","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7785400/","NA"
"10342","WIBP-CorV","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Inactivated","Phase 3","Wuhan Institute of Biological Products","NA","NA","18 - 59 years","Single dose","Intramuscular","NA","Inactivated SARS-CoV-2 virus","NA","NA","NA","NA","NVX-CoV2373 ","33402220","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7785400/","NA"
"10343","Vidprevtyn","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 3","Sanofi Pasteur, GlaxoSmithKline","2021","USA","18 years and above","2 doses 14 days apart","Intramuscular","NA","SARS-CoV-2 protein","NA","NA","GlaxoSmithKline","USA, Colombia, Honduras, Japan, Kenya","VAT00002, VAT00008","NA","NCT04904549","https://clinicaltrials.gov/ct2/show/NCT04904549","https://www.sanofi.com/en/our-covid-19-vaccine-candidates/phase-3-clinical-trial-for-COVID19-recombinant-protein-vaccine-candidate"
"10344","CVAC","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","RNA based vaccine","Phase 3","CureVac AG","NA","Germany","NA","NA","Intramuscular","NA","NA","mRNA based vaccine","NA","NA","Germany, Cuba, Peru","CVnCoV","NA","NCT04674189","https://extranet.who.int/pqweb/sites/default/files/documents/Status_of_COVID-19_Vaccines_within_WHO_EUL-PQ_evaluation_process-16June2021_Final.pdf","https://clinicaltrials.gov/ct2/show/NCT04674189"
"10345","CoV2 preS dTM-AS03 vaccine","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 3","Sanofi Pasteur","NA","NA","NA","NA","Intramuscular","NA","NA","Recombinant","EMA","NA","NA","NA","NA","NCT04904549","https://extranet.who.int/pqweb/sites/default/files/documents/Status_of_COVID-19_Vaccines_within_WHO_EUL-PQ_evaluation_process-16June2021_Final.pdf","https://clinicaltrials.gov/ct2/show/NCT04762680"
"10346","SCB-2019","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 3","Clover Biopharmaceuticals","NA","Australia","NA","NA","Intramuscular","NA","NA","Novel recombinant SARSCoV-2 Spike trimer fusion protein ","NA","NA","Belgium, Brazil, Colombia, Dominican Republic, Germany, Nepal, Panama, Philippines, Poland","NA","NA","NCT04405908","https://extranet.who.int/pqweb/sites/default/files/documents/Status_of_COVID-19_Vaccines_within_WHO_EUL-PQ_evaluation_process-16June2021_Final.pdf","https://clinicaltrials.gov/ct2/show/NCT04405908"
"10347","COVIran Barekat","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Inactivated","Phase 3","Shifa Pharmed Industrial Co.","2021","Iran","18 - 75 years","2 doses 28 days apart","Intramuscular","NA","NA","NA","NA","NA","NA","BIV1-CovIran, COVIran Barkat","NA","NA","http://en.irct.ir/trial/54881","https://en.irct.ir/trial/52701"
"10348","GRAd-COV2","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Non-replicating viral vector","Phase 3","ReiThera Srl","NA","Italy","18 years and above","2 doses 21 days apart","Intramuscular","NA","Spike protein of SARS-CoV-2 virus","NA","NA","NA","NA","NA","NA","NCT04791423","https://clinicaltrials.gov/show/NCT04791423","NA"
"10349","Vidprevtyn","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 3","Sanofi Pasteur","2021","USA","18 years and above","2 doses 21 days apart","Intramuscular","AS03","SARS-CoV-2 protein","NA","US FDA","GlaxoSmithKline","NA","VAT00002, VAT00008","NA","NCT04762680","https://clinicaltrials.gov/show/NCT04762680","https://www.sanofi.com/en/our-covid-19-vaccine-candidates/phase-3-clinical-trial-for-COVID19-recombinant-protein-vaccine-candidate"
"10350","Skycovion","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 3","SK Bioscience Co. Ltd.","2021","SouthÂ Korea","19 - 85 years","2 doses 28 days apart","Intramuscular","AS03","Recombinant SARS-CoV-2 protein","NA","NA","International Vaccine Institute, GlaxoSmithKline, Coalition for Epidemic Preparedness Innovations","NA","GBP510","NA","NCT04750343","https://clinicaltrials.gov/show/NCT04750343","NA"
"10351","QazVac","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Inactivated","Phase 3","Research Institute for Biological Safety Problems","2020","Kazakhstan","18 years and above","2 doses 21 days apart","Intramuscular","NA","NA","NA","NA","NA","NA","QazCovid-in","NA","NCT04691908","https://clinicaltrials.gov/show/NCT04691908","NA"
"10352","Covovax (Nuvaxovid)","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 3","Novavax Inc.","2020","Australia","18 - 59 years","2 doses 21 days apart","Intramuscular","NA","NA","NA","US FDA","NA","NA","TAK-019, SARS-CoV-2 rS","NA","NCT04368988","https://clinicaltrials.gov/show/NCT04368988","https://clinicaltrials.gov/ct2/show/NCT04368988"
"10353","COVIVAC","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Inactivated","Phase 3","Instituto Butantan","2020","Brazil","18 years and above","2 doses 2 weeks apart","Intramuscular","NA","NA","NA","NA","NA","NA","ADAPTCOV, NDV-HXP-S vaccine, , HXP-GPOVac, Patria, ButanVac","NA","NCT04456595","https://clinicaltrials.gov/show/NCT04456595","NA"
"10354","SCTV01C","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Subunit vaccine","Phase 3","Sinocelltech Ltd.","2021","China","18 years and above","2 doses 14 days apart","Intramuscular","NA","Spike protein of SARS-CoV-2 virus","NA","NA","NA","NA","NA","NA","NCT05043311","http://www.violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=5890","NA"
"10355","CoviVac","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Inactivated","Phase 3","Chumakov Centre at the Russian Academy of Sciences","2021","Russia","18 - 60 years","2 doses 14 days apart","Intramuscular","NA","Inactivated SARS-CoV-2 virus","NA","NA","NA","NA","NA","NA","NA","https://www.precisionvaccinations.com/vaccines/covivac-russia-covid-19-vaccine","NA"
"10356","V70P5","Influenza (flu)","Respiratory","Influenza virus","positive-sense, single-stranded RNA","Inactivated","Phase 3","Novartis","2015","USA","6 months - 71 months","2 doses","Intramuscular","NA","Inactivated Influenza virus","NA","NA","NA","NA","NBP607","NA","NCT00644059","https://clinicaltrials.gov/ct2/show/NCT00644059?recrs=ade&cond=Influenza%2C+Human&phase=23&draw=2&rank=14","NA"
"10357","NBP607-QIV","Influenza (flu)","Respiratory","Influenza virus","positive-sense, single-stranded RNA","Inactivated","Phase 3","SK Chemicals Co. Ltd.","2015","SouthÂ Korea","6 months - 18 years","1- 2 doses depending on volume and age","Intramuscular","NA","Inactivated Influenza virus","Cell culture based","NA","NA","NA","NA","NA","NCT02914275","https://clinicaltrials.gov/ct2/show/NCT02914275?recrs=ade&cond=Influenza%2C+Human&phase=23&draw=2&rank=18","NA"
"10358","Seqirus QIV","Influenza (flu)","Respiratory","Influenza virus","positive-sense, single-stranded RNA","Inactivated","Phase 3","Seqirus","2019","USA","6 months - 59 months","1- 2 doses depending on volume and age","Intramuscular","NA","Four recommended influenza strains for the Northern Hemisphere 2016/2017 influenza season","NA","US FDA","NA","NA","NA","NA","NCT02914275","https://www.clinicaltrials.gov/ct2/show/NCT02914275","NA"
"10359","RSV F vaccine","Respiratory syncytial virus infection","Respiratory","Respiratory syncytial virus","negative-sense, single-stranded RNA","Live-attenuated","Phase 3","Novavax Inc.","2020","USA","18 - 40 years","2 doses 9 months apart","Intramuscular","Aluminum","RSV surface glycoprotein","NA","NA","Bill and Melinda Gates Foundation","NA","NA","NA","NCT02624947","https://clinicaltrials.gov/ct2/show/NCT02624947?recrs=bde&cond=Respiratory+Syncytial+Virus+%28RSV%29&phase=23&draw=2&rank=2","NA"
"10360","Motavizumab ","Respiratory syncytial virus infection","Respiratory","Respiratory syncytial virus","negative-sense, single-stranded RNA","Protein subunit","Phase 3","MedImmune LLC","2013","USA","upto 1 year","5 doses in interval for 1 month","Intramuscular","NA","Fusion glycoprotein of RSV","NA","NA","NA","NA","NA","NA","NCT00129766","https://clinicaltrials.gov/ct2/show/NCT00129766?recrs=bde&cond=Respiratory+Syncytial+Virus+%28RSV%29&phase=23&draw=2&rank=3","NA"
"10361","Ad26. RSV. preF","Respiratory syncytial virus infection","Respiratory","Respiratory syncytial virus","negative-sense, single-stranded RNA","Recombinant viral vector","Phase 3","Janssen Pharmaceutical","2021","USA","18 - 59 years","2 doses 6 months apart","Intramuscular","NA","Fusion glycoprotein of RSV","NA","US FDA","NA","NA","NA","NA","NCT05070546","https://clinicaltrials.gov/ct2/show/NCT05070546?recrs=bde&cond=Respiratory+Syncytial+Virus+%28RSV%29&phase=23&draw=2&rank=8","https://www.fda.gov/media/105619/download"
"10362","MK-1654","Respiratory syncytial virus infection","Respiratory","Respiratory syncytial virus","negative-sense, single-stranded RNA","NA","Phase 3","Merck & Co. Inc.","2021","USA","upto 1 year","NA","Intramuscular","NA","Fusion glycoprotein of RSV","NA","US FDA","NA","NA","NA","NA","NCT04938830","https://clinicaltrials.gov/ct2/show/NCT04938830?recrs=bde&cond=Respiratory+Syncytial+Virus+%28RSV%29&phase=23&draw=2&rank=12","https://ichgcp.net/clinical-trials-registry/NCT04938830"
"10363","STAMARiL","Yellow fever","Hemorrhagic","Yellow fever virus","positive-sense, single-stranded RNA","Live-attenuated","Phase 3","Sanofi Pasteur","NA","France","10 months  ","Single dose","Subcutaneous","NA","17D-204 strain of yellow fever virus","Produced in specified pathogen-free chick embryos","NA","NA","NA","NA","NA","NA","https://www.sanofipasteur.co.uk/-/media/ems/conditions/vaccines/brands/oneportal-ie/pdf/105_stamaril_mah_address_update_12_2017_uk.pdf","NA"
"10364","TAK-003","Dengue fever","Hemorrhagic","Dengue virus","positive-sense, single-stranded RNA","Live-attenuated","Phase 3","Takeda Pharmaceutical Company Limited","NA","USA","4 - 16 years","NA","Subcutaneous","NA","Dengue virus serotypes (1, 2, 3 and 4)","Mammalian cell vero culture","NA","NA","NA","TDV","30684747","NA","https://www.sciencedirect.com/science/article/pii/S1201971219300402","NA"
"10365","TV-003/005","Dengue fever","Hemorrhagic","Dengue virus","positive-sense, single-stranded RNA","Live-attenuated","Phase 3","Merck & Co. Inc.","NA","Brazil","2 - 59 years","NA","Subcutaneous","NA","Dengue virus serotypes (1, 2, 3 and 4)","Mammalian cell vero culture","NA","National Institute of Allergy and Infectious Diseases","NA","TetraVax-DV","30684747","NCT02406729","https://www.sciencedirect.com/science/article/pii/S1201971219300402","https://clinicaltrials.gov/ct2/show/NCT02406729"
"10366","EPAXAL","Hepatitis A","Hepatitic","Hepatitis A virus","positive-sense, single-stranded RNA","Inactivated","Phase 3","Crucell, Berna Biotech","NA","Berne, Switzerland","NA","P: 24 U; Adults: 24 U","Intramuscular","NA","RG-SB","NA","NA","NA","NA","NA","29661808","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6360863/","NA"
"10367","Aimugen","Hepatitis A","Hepatitic","Hepatitis A virus","positive-sense, single-stranded RNA","Inactivated","Phase 3","Chemo-Sero-Therapeutic Research Institute","NA","Japan","NA","P: 0.5 Âµg; Adults: 0.5 Âµg","Intramuscular","Aluminum (aluminium hydroxide)","KRM003","NA","NA","NA","NA","NA","29661808","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6360863/","NA"
"10368","Hepatyrix","Hepatitis A, Typhoid","Hepatitic","Hepatitis A virus, Salmonella typhi","double stranded DNA","Inactivated","Phase 3","Sanofi Pasteur","2015","Belgium","15 years and above","Single dose","Intramuscular","NA","Hepatitis A viral protein along with Vi polysaccharide antigen (a part of the Salmonella typhi (Ty2 strain) bacterium","NA","NA","NA","NA","NA","NA","NA","https://www.hpra.ie/img/uploaded/vaccines/PIL_PA1077099001.pdf","NA"
"10369","SYN023 (Freeze-dried Rabies Vaccine for Human Use (Vero Cells))","Rabies","Neurologic","Rabies virus","negative-sense, single-stranded RNA","NA","Phase 3","Synermore Biologics (Suzhou) Co. Ltd.","2020","China","18 years and above","5 doses on day 1, 4, 8, 15 and 29","Intramuscular","NA","NA","NA","US FDA","Simoon Record Pharma Information Consulting Co. Ltd., Clinchoice Inc.","NA","NA","NA","NCT04644484","https://clinicaltrials.gov/ct2/show/NCT04644484?cond=Rabies+Human&phase=23&draw=2&rank=4","NA"
"10370","JE-VAX","Viral encephalitis","Neurologic","West Nile virus","positive-sense, single-stranded RNA","Live-attenuated","Phase 3","Research Foundation for Microbial Diseases of Osaka University","NA","China","NA","NA","Subcutaneous","NA","Nakayama-NIH/Beijing-1(P1) strain","Mouse brain based","NA","NA","Asia","SA 14-14-2 vaccine","24161909","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4185882/","NA"
"10371","Simplirix","Genital Herpes","Cutaneous","Herpes simplex virus ","double stranded DNA","Subunit vaccine","Phase 3","GlaxoSmithKline","2008","UK","18 - 30 years","NA","Intraperitoneal","3-deacylated form of MPL, alum","Herpes simplex virus 2 glycoprotein D (gD-2)","NA","NA","National Institute of Allergy and Infectious Diseases","NA","NA","NA","NCT00057330","https://www.precisionvaccinations.com/vaccines/herpes-vaccine-candidates, https://clinicaltrials.gov/ct2/show/NCT00057330","NA"
"10372","Sf21-VLP (PXVX0317)","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Virus like particle","Phase 3","Emergent BioSolutions","2021","NA","12 - 65 years","NA","NA","Alhydrogel","NA","Virus-like particle made using baculovirus and Sf21 insect cells","US FDA","NA","NA","NA","NA","NCT05072080","https://link.springer.com/chapter/10.1007/82_2019_175","https://clinicaltrials.gov/ct2/show/NCT05072080"
"10373","PENN CHIKV-2008 (PC-08)","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","DNA based vaccine","Phase 3","University of Pennsylvania","2011","USA","NA","NA","NA","NA","CHIKV envelope proteins (E1, E2, and E3)","NA","NA","NA","NA","NA","NA","NA","https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006919","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3019110/"
